category,title,file_url,page_url,mime,license_short,license_url,artist,credit
broken_window,File:2011-11-02 Incendie à Charlie Hebdo 06.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/2011-11-02_Incendie_%C3%A0_Charlie_Hebdo_06.jpg,https://commons.wikimedia.org/wiki/File:2011-11-02_Incendie_à_Charlie_Hebdo_06.jpg,image/jpeg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"<p><a href=""//commons.wikimedia.org/wiki/User:Coyau"" title=""User:Coyau"">Coyau</a>
</p>","<span class=""int-own-work"" lang=""en"">Own work</span>"
broken_window,File:Abandoned Church - view through broken window - geograph.org.uk - 704932.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Abandoned_Church_-_view_through_broken_window_-_geograph.org.uk_-_704932.jpg,https://commons.wikimedia.org/wiki/File:Abandoned_Church_-_view_through_broken_window_-_geograph.org.uk_-_704932.jpg,image/jpeg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/15201"">Nicholas Mutton</a>","From <a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/photo/704932"">geograph.org.uk</a>"
broken_window,File:Broken McDonald window in Tel Aviv.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Broken_McDonald_window_in_Tel_Aviv.jpg,https://commons.wikimedia.org/wiki/File:Broken_McDonald_window_in_Tel_Aviv.jpg,image/jpeg,Public domain,,doronef,"<span class=""int-own-work"" lang=""en"">Own work</span>"
broken_window,File:Broken Window - geograph.org.uk - 8039182.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Broken_Window_-_geograph.org.uk_-_8039182.jpg,https://commons.wikimedia.org/wiki/File:Broken_Window_-_geograph.org.uk_-_8039182.jpg,image/jpeg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/139"">Anne Burgess</a> <span class=""mw-valign-text-top noprint"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Broken_Window_-_geograph.org.uk_-_8039182.jpg#P170"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>","<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/photo/8039182"">Geograph Britain and Ireland</a> <span class=""mw-valign-text-top noprint"" typeof=""mw:File/Frameless""><a href=""//commons.wikimedia.org/wiki/File:Broken_Window_-_geograph.org.uk_-_8039182.jpg#P7482"" title=""Edit this at Structured Data on Commons""><img alt=""Edit this at Structured Data on Commons"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png"" decoding=""async"" width=""10"" height=""10"" class=""mw-file-element"" data-file-width=""20"" data-file-height=""20""></a></span>"
broken_window,"File:Broken window, Strabane, January 2010.JPG",https://upload.wikimedia.org/wikipedia/commons/0/09/Broken_window%2C_Strabane%2C_January_2010.JPG,"https://commons.wikimedia.org/wiki/File:Broken_window,_Strabane,_January_2010.JPG",image/jpeg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"<a href=""//commons.wikimedia.org/wiki/User:Ardfern"" title=""User:Ardfern"">Ardfern</a>","<span class=""int-own-work"" lang=""en"">Own work</span>"
broken_window,File:Broken window in Broberg 2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Broken_window_in_Broberg_2.jpg,https://commons.wikimedia.org/wiki/File:Broken_window_in_Broberg_2.jpg,image/jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:W.carter"" title=""User:W.carter"">W.carter</a>","<span class=""int-own-work"" lang=""en"">Own work</span>"
broken_window,File:Broken window on the Zurich building. - geograph.org.uk - 897275.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Broken_window_on_the_Zurich_building._-_geograph.org.uk_-_897275.jpg,https://commons.wikimedia.org/wiki/File:Broken_window_on_the_Zurich_building._-_geograph.org.uk_-_897275.jpg,image/jpeg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/17822"">Basher Eyre</a>","From <a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/photo/897275"">geograph.org.uk</a>"
broken_window,File:Ellis Island hospital window mural (01897).jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Ellis_Island_hospital_window_mural_%2801897%29.jpg,https://commons.wikimedia.org/wiki/File:Ellis_Island_hospital_window_mural_(01897).jpg,image/jpeg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Rhododendrites"" title=""User:Rhododendrites"">Rhododendrites</a>","<span class=""int-own-work"" lang=""en"">Own work</span>"
broken_window,File:Fiestra e vandalismo.JPG,https://upload.wikimedia.org/wikipedia/commons/8/8c/Fiestra_e_vandalismo.JPG,https://commons.wikimedia.org/wiki/File:Fiestra_e_vandalismo.JPG,image/jpeg,Public domain,,Atobar,"<span class=""int-own-work"" lang=""en"">Own work</span>"
broken_window,File:G-20 Toronto June 2010 (33).jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/G-20_Toronto_June_2010_%2833%29.jpg,https://commons.wikimedia.org/wiki/File:G-20_Toronto_June_2010_(33).jpg,image/jpeg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/10088890@N07"">Mark Mozaz Wallis</a>","<p><a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/10088890@N07/4737235629/"">G20 RIOTS SAT 26 JUNE 2010</a>
</p>
<ul><li>Uploaded by <a href=""//commons.wikimedia.org/wiki/User:Skeezix1000"" title=""User:Skeezix1000"">Skeezix1000</a></li></ul>"
